緯度,経度,更新日,コンテンツ
35.069130727004428,134.00434519703094,<strong>津山市役所</strong><br>津山市市役所１階医療保険課柱既設ボックス<br>津山市山北520<br>32-2021,20200401
35.178193738682111,134.05414178764224,<strong>加茂支所</strong><br>東風除室<br>津山市加茂町塔中104<br>32-7032,20200401
35.236981992688328,134.11239213928798,<strong>阿波出張所</strong><br>ロビー<br>津山市阿波1209-4<br>32-7042,20200401
35.104740631087857,134.11280442457996,<strong>勝北支所</strong><br>ロビー<br>津山市新野東567<br>32-7022,20200401
35.05944199663471,133.90022205715476,<strong>久米支所</strong><br>ロビー<br>津山市中北下1300<br>32-7011,20200401
35.06919522759776,134.00904874933752,<strong>津山すこやか・こどもセンター</strong><br>１階健康増進課事務室内<br>津山市山北800<br>32-2069,20200401
35.069199903386405,134.0091117772711,<strong>津山すこやか・こどもセンター</strong><br>１階健康増進課事務室内<br>津山市山北800<br>32-2069,20200401
35.069197818275988,134.00917483194388,<strong>津山すこやか・こどもセンター</strong><br>１階健康増進課事務室内<br>津山市山北800<br>32-2069,20200401
35.069748715013283,134.00702906088017,<strong>津山市役所東庁舎</strong><br>１階選挙管理委員会北会議室<br>津山市山北520<br>32-2143,20200401
35.105651274725268,134.10921220041209,<strong>勝北風の子こども園</strong><br>職員室<br>津山市新野東600-1<br>36-8844,20200401
35.057637275055264,133.90351500705793,<strong>久米こども園</strong><br>職員室<br>津山市南方中1744-1<br>57-2501,20200401
35.179158872650582,134.0563618076134,<strong>津山市立加茂幼稚園</strong><br>職員室 非常持ち出しロッカー上<br>津山市加茂町塔中147-1<br>42-3036,20200401
35.071445825721106,134.00875201820421,<strong>東小学校</strong><br>１階保健室内<br>津山市山北740<br>22-8268,20200401
35.062306687193775,133.99210971063189,<strong>西小学校</strong><br>１階玄関<br>津山市小田中1360<br>22-9194,20200401
35.055081585918536,133.99617404352909,<strong>南小学校</strong><br>１階職員室<br>津山市昭和町2-73-2<br>22-8145,20200401
35.0694953280139,134.00085972170967,<strong>北小学校</strong><br>１階職員室<br>津山市山北238<br>22-8168,20200401
35.0793147053291,134.02306706270346,<strong>鶴山小学校</strong><br>１階　１年生教室横廊下<br>津山市志戸部121<br>24-4701,20200401
35.08601101720425,134.00955796725759,<strong>弥生小学校</strong><br>１階職員室<br>津山市大田121<br>27-1530,20200401
35.086904424141046,134.00944613957466,<strong>北陵中学校</strong><br>１階事務室<br>津山市大田160<br>27-0321,20200401
35.060196331474032,133.96482515587709,<strong>向陽小学校</strong><br>１階保健室<br>津山市二宮608-1<br>28-0553,20200401
35.06094453978281,133.94743098787376,<strong>院庄小学校</strong><br>１階玄関<br>津山市院庄1041<br>28-0606,20200401
35.044567756213596,133.96946347006156,<strong>佐良山小学校</strong><br>体育館入り口<br>津山市皿657-2<br>28-0605,20200401
35.101570740496406,133.99980815106952,<strong>一宮小学校</strong><br>体育館ミーティングルーム<br>津山市東一宮87-1<br>27-0100,20200401
35.116171874783312,134.02441944012818,<strong>高田小学校</strong><br>１階保健室<br>津山市下横野1075<br>27-0345,20200401
35.119327278357048,134.07068354545572,<strong>清泉小学校</strong><br>１階職員室前廊下<br>津山市綾部407<br>29-1518,20200401
35.099682307295275,134.04338373942977,<strong>高倉小学校</strong><br>１階保健室前廊下<br>津山市下高倉西12<br>29-0709,20200401
